i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
69,1736070863672762000,1736070863683936000,1736070863717143000,1736070863733429000,1736070869204868000,1736070869209117000,5536,33,5471
65,1736070863666338000,1736070863676117000,1736070863706194000,1736070863717464000,1736070870155928000,1736070870159869000,6493,30,6438
61,1736070863653553000,1736070863673582000,1736070863706850000,1736070863722541000,1736070871251357000,1736070871255266000,7601,33,7528
67,1736070863666352000,1736070863677404000,1736070863717747000,1736070863734593000,1736070872168972000,1736070872172874000,8506,40,8434
68,1736070863668528000,1736070863678869000,1736070863720701000,1736070863733833000,1736070872168989000,1736070872172893000,8504,41,8435
74,1736070873704325000,1736070873710993000,1736070873741536000,1736070873760174000,1736070875239518000,1736070875242423000,1538,30,1479
70,1736070873688783000,1736070873710790000,1736070873741507000,1736070873760614000,1736070876256688000,1736070876259771000,2570,30,2496
71,1736070873688684000,1736070873707335000,1736070873741534000,1736070873760902000,1736070877269620000,1736070877273281000,3584,34,3508
72,1736070873689129000,1736070873709929000,1736070873742588000,1736070873759555000,1736070878258216000,1736070878262202000,4573,32,4498
76,1736070873708537000,1736070873720046000,1736070873758206000,1736070873768733000,1736070878257934000,1736070878262202000,4553,38,4489
73,1736070873690166000,1736070873708726000,1736070873738749000,1736070873747739000,1736070879198822000,1736070879202220000,5512,30,5451
75,1736070873708202000,1736070873720482000,1736070873758359000,1736070873773116000,1736070880301473000,1736070880304655000,6596,37,6528
77,1736070873708038000,1736070873720720000,1736070873759555000,1736070873768736000,1736070881229849000,1736070881233803000,7525,38,7461
79,1736070873707650000,1736070873720649000,1736070873759819000,1736070873764717000,1736070881229849000,1736070881233808000,7526,39,7465
78,1736070873708236000,1736070873720043000,1736070873761425000,1736070873769044000,1736070882287352000,1736070882291835000,8583,41,8518
82,1736070883723348000,1736070883745490000,1736070883773939000,1736070883785980000,1736070885445244000,1736070885448473000,1725,28,1659
81,1736070883723347000,1736070883744833000,1736070883779624000,1736070883790249000,1736070886322439000,1736070886325764000,2602,34,2532
83,1736070883723662000,1736070883744419000,1736070883786274000,1736070883798866000,1736070887340312000,1736070887343542000,3619,41,3541
84,1736070883729297000,1736070883746440000,1736070883778847000,1736070883791114000,1736070888330800000,1736070888335463000,4606,32,4539
80,1736070883723341000,1736070883745460000,1736070883779259000,1736070883788413000,1736070888330703000,1736070888335465000,4612,33,4542
88,1736070883744180000,1736070883753578000,1736070883785980000,1736070883800563000,1736070889445353000,1736070889448431000,5704,32,5644
85,1736070883741821000,1736070883748973000,1736070883786075000,1736070883797488000,1736070890367789000,1736070890371617000,6629,37,6570
86,1736070883743025000,1736070883752993000,1736070883786208000,1736070883796448000,1736070891448694000,1736070891452084000,7709,33,7652
87,1736070883743544000,1736070883755274000,1736070883789546000,1736070883799148000,1736070891448694000,1736070891452095000,7708,34,7649
89,1736070883744181000,1736070883756291000,1736070883788415000,1736070883798672000,1736070892362514000,1736070892365838000,8621,32,8563
91,1736070893764636000,1736070893784038000,1736070893817310000,1736070893823756000,1736070895506180000,1736070895512022000,1747,33,1682
92,1736070893764312000,1736070893784150000,1736070893819220000,1736070893823752000,1736070896363645000,1736070896366657000,2602,35,2539
99,1736070893787308000,1736070893797726000,1736070893828325000,1736070893842348000,1736070897397450000,1736070897400947000,3613,30,3555
93,1736070893765905000,1736070893784375000,1736070893817937000,1736070893823751000,1736070898368860000,1736070898372197000,4606,33,4545
98,1736070893788027000,1736070893797756000,1736070893827693000,1736070893838924000,1736070898368636000,1736070898372198000,4584,29,4529
95,1736070893785952000,1736070893797295000,1736070893838561000,1736070893845997000,1736070899482885000,1736070899486551000,5700,41,5636
94,1736070893787268000,1736070893797543000,1736070893838918000,1736070893847878000,1736070900404661000,1736070900408164000,6620,41,6556
97,1736070893786550000,1736070893798086000,1736070893842563000,1736070893854781000,1736070901481299000,1736070901484625000,7698,44,7626
90,1736070893764540000,1736070893787393000,1736070893818096000,1736070893823833000,1736070901481299000,1736070901484657000,7720,30,7657
96,1736070893787439000,1736070893797895000,1736070893837330000,1736070893848173000,1736070902386541000,1736070902389990000,8602,39,8538
100,1736070903803187000,1736070903825371000,1736070903862323000,1736070903879283000,1736070905533095000,1736070905536645000,1733,36,1653
103,1736070903803550000,1736070903825381000,1736070903856331000,1736070903863776000,1736070906538965000,1736070906542061000,2738,30,2675
102,1736070903802844000,1736070903824980000,1736070903856413000,1736070903865013000,1736070907553850000,1736070907556785000,3753,31,3688
107,1736070903826138000,1736070903838617000,1736070903882161000,1736070903890269000,1736070908527580000,1736070908531112000,4704,43,4637
101,1736070903802878000,1736070903824200000,1736070903862372000,1736070903872577000,1736070908527576000,1736070908531008000,4728,38,4654
108,1736070903826293000,1736070903837386000,1736070903878957000,1736070903887993000,1736070909492851000,1736070909496207000,5669,41,5604
105,1736070903825375000,1736070903839120000,1736070903883311000,1736070903891137000,1736070910427583000,1736070910430692000,6605,44,6536
109,1736070903825075000,1736070903838187000,1736070903873254000,1736070903884637000,1736070911498200000,1736070911502098000,7677,35,7613
106,1736070903826083000,1736070903838250000,1736070903872941000,1736070903882967000,1736070911498199000,1736070911502105000,7676,34,7615
104,1736070903804495000,1736070903826807000,1736070903856307000,1736070903871464000,1736070912539001000,1736070912542079000,8737,29,8667
114,1736070913847255000,1736070913866915000,1736070913896520000,1736070913907152000,1736070915494756000,1736070915498392000,1651,29,1587
112,1736070913845439000,1736070913866681000,1736070913900309000,1736070913912015000,1736070916581176000,1736070916585691000,2740,33,2669
113,1736070913845566000,1736070913864156000,1736070913898742000,1736070913906946000,1736070917534526000,1736070917539232000,3693,34,3627
111,1736070913845433000,1736070913866544000,1736070913898639000,1736070913906762000,1736070917534386000,1736070917539208000,3693,32,3627
119,1736070913865241000,1736070913877447000,1736070913906606000,1736070913921040000,1736070918491495000,1736070918495362000,4630,29,4570
110,1736070913845384000,1736070913863448000,1736070913896258000,1736070913902736000,1736070919608451000,1736070919611870000,5766,32,5705
115,1736070913864403000,1736070913876671000,1736070913912534000,1736070913920842000,1736070920534783000,1736070920538302000,6673,35,6613
118,1736070913865846000,1736070913876089000,1736070913915099000,1736070913928549000,1736070921605610000,1736070921609101000,7743,39,7677
117,1736070913864481000,1736070913876728000,1736070913912038000,1736070913921157000,1736070921605610000,1736070921609070000,7744,35,7684
116,1736070913866570000,1736070913878471000,1736070913913322000,1736070913921947000,1736070922510043000,1736070922514073000,8647,34,8588
121,1736070923884004000,1736070923898787000,1736070923942248000,1736070923956858000,1736070925730190000,1736070925734349000,1850,43,1773
122,1736070923892693000,1736070923906200000,1736070923943362000,1736070923956322000,1736070926719800000,1736070926723442000,2830,37,2763
120,1736070923884658000,1736070923903232000,1736070923942247000,1736070923956963000,1736070927732417000,1736070927737056000,3852,39,3775
123,1736070923892701000,1736070923906212000,1736070923942288000,1736070923957077000,1736070928734601000,1736070928738892000,4846,36,4777
125,1736070923898216000,1736070923909551000,1736070923956657000,1736070923967482000,1736070928734612000,1736070928738892000,4840,47,4767
124,1736070923896263000,1736070923907840000,1736070923959954000,1736070923969653000,1736070929695999000,1736070929699517000,5803,52,5726
126,1736070923901908000,1736070923912347000,1736070923956806000,1736070923967436000,1736070930644860000,1736070930648407000,6746,44,6677
127,1736070923901551000,1736070923911865000,1736070923957493000,1736070923969767000,1736070931716044000,1736070931720394000,7818,45,7746
129,1736070923903743000,1736070923913295000,1736070923956670000,1736070923968648000,1736070931716045000,1736070931720394000,7816,43,7747
128,1736070923901846000,1736070923912725000,1736070923956969000,1736070923967148000,1736070932616416000,1736070932620111000,8718,44,8649
133,1736070933920991000,1736070933934343000,1736070933967251000,1736070933973882000,1736070935673528000,1736070935677135000,1756,32,1699
137,1736070933934013000,1736070933941920000,1736070933970786000,1736070933978612000,1736070936706398000,1736070936709847000,2775,28,2727
136,1736070933936821000,1736070933947077000,1736070933981351000,1736070933988410000,1736070937713647000,1736070937717562000,3780,34,3725
134,1736070933934016000,1736070933941895000,1736070933973971000,1736070933981948000,1736070937713746000,1736070937717566000,3783,32,3731
135,1736070933938702000,1736070933950595000,1736070933991306000,1736070933999097000,1736070938660710000,1736070938664213000,4725,40,4661
131,1736070933919473000,1736070933938702000,1736070933981086000,1736070933988546000,1736070939783169000,1736070939786770000,5867,42,5794
138,1736070933937940000,1736070933950977000,1736070933991312000,1736070933999139000,1736070940701790000,1736070940706276000,6768,40,6702
132,1736070933919871000,1736070933938436000,1736070933974307000,1736070933983678000,1736070940701791000,1736070940706270000,6786,35,6718
139,1736070933937465000,1736070933947539000,1736070933980771000,1736070933988422000,1736070941785911000,1736070941790036000,7852,33,7797
130,1736070933919527000,1736070933938740000,1736070933973857000,1736070933981507000,1736070942708064000,1736070942712552000,8793,35,8726
141,1736070943953269000,1736070943973567000,1736070944003952000,1736070944016202000,1736070945841613000,1736070945844774000,1891,30,1825
145,1736070943958506000,1736070943972514000,1736070944006730000,1736070944017620000,1736070946862776000,1736070946866223000,2907,34,2845
144,1736070943954756000,1736070943973214000,1736070944005966000,1736070944017111000,1736070947873445000,1736070947877123000,3922,32,3856
148,1736070943971510000,1736070943982347000,1736070944006179000,1736070944017382000,1736070947873445000,1736070947877138000,3905,23,3856
140,1736070943952962000,1736070943973045000,1736070944003723000,1736070944017641000,1736070948849960000,1736070948853995000,4901,30,4832
143,1736070943953282000,1736070943972499000,1736070944005831000,1736070944023612000,1736070949789905000,1736070949793005000,5839,33,5766
142,1736070943952912000,1736070943973183000,1736070944004326000,1736070944017313000,1736070950864347000,1736070950867274000,6914,31,6847
149,1736070943973051000,1736070943985606000,1736070944017176000,1736070944027055000,1736070951799590000,1736070951803347000,7830,31,7772
146,1736070943971608000,1736070943985464000,1736070944022739000,1736070944029366000,1736070951799596000,1736070951803347000,7831,37,7770
147,1736070943972562000,1736070943986350000,1736070944016933000,1736070944023272000,1736070952881059000,1736070952885267000,8912,30,8857
153,1736070953984432000,1736070954004213000,1736070954042297000,1736070954050167000,1736070955904307000,1736070955907994000,1923,38,1854
156,1736070954001556000,1736070954009818000,1736070954043092000,1736070954049596000,1736070956931655000,1736070956934744000,2933,33,2882
158,1736070954002615000,1736070954013387000,1736070954044579000,1736070954053274000,1736070957920210000,1736070957923275000,3920,31,3866
150,1736070953984198000,1736070954002734000,1736070954042718000,1736070954052166000,1736070957919679000,1736070957923275000,3939,39,3867
152,1736070953984453000,1736070954002545000,1736070954044116000,1736070954052192000,1736070958880114000,1736070958883752000,4899,41,4827
155,1736070953998182000,1736070954011550000,1736070954043025000,1736070954052575000,1736070959835676000,1736070959840093000,5841,31,5783
159,1736070954002691000,1736070954011973000,1736070954042348000,1736070954049150000,1736070960915389000,1736070960918949000,6916,30,6866
151,1736070953983930000,1736070954000920000,1736070954043628000,1736070954051466000,1736070960915388000,1736070960918943000,6935,42,6863
157,1736070954001720000,1736070954011986000,1736070954042604000,1736070954049146000,1736070961848318000,1736070961852500000,7850,30,7799
154,1736070953986279000,1736070954000984000,1736070954043197000,1736070954049626000,1736070962928629000,1736070962932787000,8946,42,8879
163,1736070964021020000,1736070964042877000,1736070964072892000,1736070964086764000,1736070965908447000,1736070965911944000,1890,30,1821
161,1736070964019849000,1736070964041372000,1736070964072342000,1736070964087535000,1736070966932206000,1736070966935359000,2915,30,2844
164,1736070964021293000,1736070964040371000,1736070964072339000,1736070964086241000,1736070966932998000,1736070966935879000,2914,31,2846
162,1736070964019835000,1736070964043158000,1736070964077606000,1736070964088924000,1736070967902699000,1736070967906073000,3886,34,3813
160,1736070964021024000,1736070964042371000,1736070964077052000,1736070964084952000,1736070969031065000,1736070969034463000,5013,34,4946
169,1736070964042796000,1736070964053614000,1736070964086852000,1736070964095862000,1736070969973111000,1736070969976575000,5933,33,5877
168,1736070964043182000,1736070964052656000,1736070964088178000,1736070964100435000,1736070969973111000,1736070969976578000,5933,35,5872
166,1736070964043369000,1736070964054559000,1736070964085119000,1736070964102162000,1736070971024371000,1736070971027327000,6983,30,6922
