i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
119,1736063197050115000,1736063197061456000,1736063200760189000,1736063200764248000,1736063204327828000,1736063204331566000,7281,3698,3563
111,1736063197030404000,1736063197050990000,1736063200705839000,1736063200710575000,1736063204327845000,1736063204331566000,7301,3654,3617
114,1736063197044310000,1736063197052164000,1736063200664970000,1736063200669804000,1736063205389166000,1736063205392961000,8348,3612,4719
117,1736063197050585000,1736063197063487000,1736063200723805000,1736063200727277000,1736063206456855000,1736063206460132000,9409,3660,5729
118,1736063197050604000,1736063197061848000,1736063200782013000,1736063200785938000,1736063207460550000,1736063207465873000,10415,3720,6674
116,1736063197048280000,1736063197063548000,1736063200829518000,1736063200833138000,1736063207654019000,1736063207659546000,10611,3765,6820
115,1736063197049471000,1736063197061263000,1736063200800416000,1736063200804751000,1736063208414348000,1736063208417561000,11368,3739,7609
121,1736063207058506000,1736063207066585000,1736063207787486000,1736063207793261000,1736063209491769000,1736063209496205000,2437,720,1698
122,1736063207060251000,1736063207078687000,1736063207765438000,1736063207776252000,1736063210523621000,1736063210526960000,3466,686,2747
123,1736063207059452000,1736063207077871000,1736063207679125000,1736063207684430000,1736063210539679000,1736063210543357000,3483,601,2855
128,1736063207067402000,1736063207078389000,1736063207707834000,1736063207715156000,1736063211497371000,1736063211501254000,4433,629,3782
126,1736063207077032000,1736063207084551000,1736063207811838000,1736063207816828000,1736063212436587000,1736063212441993000,5364,727,4619
129,1736063207076754000,1736063207087629000,1736063207806383000,1736063207810527000,1736063213464196000,1736063213467832000,6391,718,5653
125,1736063207066989000,1736063207078044000,1736063207889694000,1736063207894488000,1736063213589317000,1736063213592601000,6525,811,5694
124,1736063207059455000,1736063207076712000,1736063207904418000,1736063207909317000,1736063214517262000,1736063214521346000,7461,827,6607
127,1736063207067006000,1736063207078432000,1736063207890580000,1736063207894475000,1736063215579647000,1736063215582662000,8515,812,7685
120,1736063207059617000,1736063207077849000,1736063207851390000,1736063207855859000,1736063216509532000,1736063216513130000,9453,773,8653
132,1736063217080206000,1736063217092453000,1736063217711016000,1736063217716667000,1736063218550988000,1736063218555029000,1474,618,834
134,1736063217084415000,1736063217094553000,1736063217769683000,1736063217776192000,1736063219626123000,1736063219629358000,2544,675,1849
131,1736063217080046000,1736063217095322000,1736063217796236000,1736063217801708000,1736063220504125000,1736063220507206000,3427,700,2702
136,1736063217087272000,1736063217097771000,1736063217714621000,1736063217721857000,1736063220573432000,1736063220576885000,3489,616,2851
130,1736063217080201000,1736063217094943000,1736063217763513000,1736063217769868000,1736063221521959000,1736063221525613000,4445,668,3752
139,1736063217094521000,1736063217104189000,1736063217841502000,1736063217845884000,1736063222520972000,1736063222524392000,5429,737,4675
135,1736063217084571000,1736063217095591000,1736063217874959000,1736063217879574000,1736063223546755000,1736063223549998000,6465,779,5667
133,1736063217082659000,1736063217093674000,1736063217798901000,1736063217802596000,1736063223651952000,1736063223655582000,6572,705,5849
138,1736063217093212000,1736063217103964000,1736063217888186000,1736063217892037000,1736063224647150000,1736063224650444000,7557,784,6755
137,1736063217094952000,1736063217105861000,1736063217895282000,1736063217900536000,1736063225698298000,1736063225701614000,8606,789,7797
140,1736063227114682000,1736063227131604000,1736063227719462000,1736063227727822000,1736063228654618000,1736063228657449000,1542,587,926
141,1736063227114689000,1736063227131305000,1736063227719462000,1736063227727879000,1736063229671925000,1736063229674791000,2560,588,1944
142,1736063227115369000,1736063227133228000,1736063227817333000,1736063227823041000,1736063230692368000,1736063230695934000,3580,684,2869
143,1736063227131285000,1736063227144443000,1736063227821208000,1736063227827384000,1736063230692368000,1736063230695935000,3564,676,2864
148,1736063227133517000,1736063227144576000,1736063227791322000,1736063227798202000,1736063231677662000,1736063231681649000,4548,646,3879
145,1736063227131603000,1736063227144956000,1736063227938196000,1736063227942338000,1736063232682268000,1736063232686312000,5554,793,4739
144,1736063227131787000,1736063227143258000,1736063227942338000,1736063227946402000,1736063233688156000,1736063233692762000,6560,799,5741
